1	23	178
2	179	336
3	337	504
4	505	658
5	659	846
6	847	1012
7	1013	1148
8	1149	1336
9	1337	1522
10	1523	1698
11	1699	1856
12	1857	2156
13	2157	2298
14	2299	2436
15	2437	2634
16	2635	2814
17	2815	2972
18	2973	3142
19	3143	3380
20	3381	3542
21	3543	3794
22	3795	3914
23	3915	4126
24	4127	4272
25	4273	4376
26	4377	4566
27	4567	4698
28	4699	4794
29	4795	4966
30	4967	5114
31	5115	5270
32	5271	5374
33	5375	5518
34	5519	5656
35	5657	5782
36	5783	5916
37	5917	6034
38	6035	6168
39	6169	6280
40	6281	6422
41	6423	6568
42	6569	6706
43	6707	6844
44	6845	6962
45	6963	7054
46	7055	7172
47	7173	7326
48	7327	7450
49	7451	7576
50	7577	7696
51	7697	7812
52	7813	7938
53	7939	8068
54	8069	8266
55	8267	8438
56	8439	8610
57	8611	8904
58	8905	9006
59	9007	9164
60	9165	9272
61	9273	9402
62	9403	9538
63	9539	9660
64	9661	9772
65	9773	9912
66	9913	10042
67	10043	10228
68	10229	10336
69	10337	10478
70	10479	10666
71	10667	10774
72	10775	10904
73	10905	11030
74	11031	11276
75	11277	11446
76	11447	11630
77	11631	11792
78	11793	11934
79	11935	12170
80	12171	12318
81	12319	12438
82	12439	12564
83	12565	12812
84	12813	12924
85	12925	13118
86	13119	13218
87	13219	13374
88	13375	13630
89	13631	13726
90	13727	13866
91	13867	13988
92	13989	14110
93	14111	14220
94	14221	14346
95	14347	14496
96	14497	14678
97	14679	14826
98	14827	14950
99	14951	15096
100	15097	15278
101	15279	15464
102	15465	15638
103	15639	15778
104	15779	15942
105	15943	16110
106	16111	16300
107	16301	16422
108	16423	16560
109	16561	16692
110	16693	16820
111	16821	16942
112	16943	17186
113	17187	17322
114	17323	17464
115	17465	17610
116	17611	17748
117	17749	17896
118	17897	18020
119	18021	18198
120	18199	18334
121	18335	18460
122	18461	18602
123	18603	18758
124	18759	19018
125	19019	19138
126	19139	19262
127	19263	19422
128	19423	19584
129	19585	19728
130	19729	19900
131	19901	20054
132	20055	20228
133	20229	20352
134	20353	20470
135	20471	20596
136	20597	20766
137	20767	20892
138	20893	21022
139	21023	21120
140	21121	21266
141	21267	21398
142	21399	21608
143	21609	21748
144	21749	21926
145	21927	22082
146	22083	22266
147	22267	22424
148	22425	22584
149	22585	22764
150	22765	22946
151	22947	23084
152	23085	23220
153	23221	23350
154	23351	23562
155	23563	23762
156	23763	23896
157	23897	24144
158	24145	24278
159	24279	24418
160	24419	24560
161	24561	24696
162	24697	24828
163	24829	24936
164	24937	25194
165	25195	25330
166	25331	25450
167	25451	25582
168	25583	25752
169	25753	25884
170	25885	26020
171	26021	26164
172	26165	26284
173	26285	26422
174	26423	26542
175	26543	26764
176	26765	26886
177	26887	27020
178	27021	27170
179	27171	27326
180	27327	27466
181	27467	27612
182	27613	27766
183	27767	27866
184	27867	27990
185	27991	28110
186	28111	28292
187	28293	28436
188	28437	28594
189	28595	28766
190	28767	28934
191	28935	29122
192	29123	29264
193	29265	29412
194	29413	29522
195	29523	29646
196	29647	29786
197	29787	29928
198	29929	30072
199	30073	30232
200	30233	30410
201	30411	30570
202	30571	30710
203	30711	30842
204	30843	30986
205	30987	31176
206	31177	31312
207	31313	31468
208	31469	31604
209	31605	31738
210	31739	31892
211	31893	32026
212	32027	32172
213	32173	32374
214	32375	32500
215	32501	32638
216	32639	32774
217	32775	32914
218	32915	33048
219	33049	33182
220	33183	33338
221	33339	33484
222	33485	33612
223	33613	33754
224	33755	33874
225	33875	34020
226	34021	34148
227	34149	34294
228	34295	34418
229	34419	34550
230	34551	34690
231	34691	34856
232	34857	35006
233	35007	35180
234	35181	35306
235	35307	35426
236	35427	35556
237	35557	35672
238	35673	35822
239	35823	35962
240	35963	36094
241	36095	36220
242	36221	36374
243	36375	36578
244	36579	36744
245	36745	36876
246	36877	37008
247	37009	37156
248	37157	37312
249	37313	37456
250	37457	37588
251	37589	37728
252	37729	37862
253	37863	38014
254	38015	38144
255	38145	38290
256	38291	38432
257	38433	38556
258	38557	38658
259	38659	38804
260	38805	38936
261	38937	39080
262	39081	39226
263	39227	39386
264	39387	39538
265	39539	39676
266	39677	39822
267	39823	39978
268	39979	40134
269	40135	40318
270	40319	40468
271	40469	40618
272	40619	40746
273	40747	40868
274	40869	41000
275	41001	41130
276	41131	41270
277	41271	41442
278	41443	41562
279	41563	41698
280	41699	41848
281	41849	41996
282	41997	42110
283	42111	42236
284	42237	42374
285	42375	42530
286	42531	42658
287	42659	42812
288	42813	42970
289	42971	43108
